province_id,river_ids,river_names,primary_river_id,primary_river_name,river_types,max_width_class,has_major_river,has_tributary,has_canal,has_delta,has_marsh_channel,has_wadi,has_floodplain,has_crossing,river_crossing_type,crossing_ids,navigable_river,river_trade_value,river_defense_bonus,river_movement_penalty,supply_bonus,farmland_bonus
PROV_ROV_HALEM,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_SEVRIN_CANAL,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_RED_BOG,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_OPEN_GATE,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_WEST_GEAR,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_THIRD_CHARTER,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_BLUE_CHAIN,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_WHITE_MARE,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_NINTH_BANNER,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_001,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_002,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_003,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_004,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_005,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_006,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_007,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_008,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_009,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_010,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_011,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_012,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_013,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_014,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_015,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_016,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
PROV_ROV_BASIN_017,,,,,,,false,false,false,false,false,false,false,false,none,,false,0,0,0,0,0
